Country,country_name,Value,Subject,Measure,time,Unit Code
AUS,Australia,24477.413776,GDP per head of population,"USD, current prices, current PPPs",1997,USD
AUT,Austria,25426.661961,GDP per head of population,"USD, current prices, current PPPs",1997,USD
BEL,Belgium,23732.789805,GDP per head of population,"USD, current prices, current PPPs",1997,USD
CAN,Canada,25259.725356,GDP per head of population,"USD, current prices, current PPPs",1997,USD
CZE,Czechia,14825.328947,GDP per head of population,"USD, current prices, current PPPs",1997,USD
DNK,Denmark,24928.302744,GDP per head of population,"USD, current prices, current PPPs",1997,USD
FIN,Finland,21794.593175,GDP per head of population,"USD, current prices, current PPPs",1997,USD
FRA,France,22247.339254,GDP per head of population,"USD, current prices, current PPPs",1997,USD
DEU,Germany,24730.827076,GDP per head of population,"USD, current prices, current PPPs",1997,USD
GRC,Greece,17155.798836,GDP per head of population,"USD, current prices, current PPPs",1997,USD
HUN,Hungary,9824.818381,GDP per head of population,"USD, current prices, current PPPs",1997,USD
ISL,Iceland,26895.633075,GDP per head of population,"USD, current prices, current PPPs",1997,USD
IRL,Ireland,22697.188822,GDP per head of population,"USD, current prices, current PPPs",1997,USD
ITA,Italy,23875.770833,GDP per head of population,"USD, current prices, current PPPs",1997,USD
JPN,Japan,25629.420662,GDP per head of population,"USD, current prices, current PPPs",1997,USD
KOR,Korea,15721.561975,GDP per head of population,"USD, current prices, current PPPs",1997,USD
LUX,Luxembourg,42445.027986,GDP per head of population,"USD, current prices, current PPPs",1997,USD
MEX,Mexico,9456.139262,GDP per head of population,"USD, current prices, current PPPs",1997,USD
NLD,Netherlands,26016.402024,GDP per head of population,"USD, current prices, current PPPs",1997,USD
NZL,New Zealand,19070.601777,GDP per head of population,"USD, current prices, current PPPs",1997,USD
NOR,Norway,28609.607264,GDP per head of population,"USD, current prices, current PPPs",1997,USD
POL,Poland,9020.0767,GDP per head of population,"USD, current prices, current PPPs",1997,USD
PRT,Portugal,15788.630626,GDP per head of population,"USD, current prices, current PPPs",1997,USD
SVK,Slovak Republic,10085.768627,GDP per head of population,"USD, current prices, current PPPs",1997,USD
ESP,Spain,17916.032155,GDP per head of population,"USD, current prices, current PPPs",1997,USD
SWE,Sweden,24805.660008,GDP per head of population,"USD, current prices, current PPPs",1997,USD
CHE,Switzerland,32440.8025,GDP per head of population,"USD, current prices, current PPPs",1997,USD
TUR,Türkiye,11650.893979,GDP per head of population,"USD, current prices, current PPPs",1997,USD
GBR,United Kingdom,23070.556727,GDP per head of population,"USD, current prices, current PPPs",1997,USD
USA,United States,31424.438925,GDP per head of population,"USD, current prices, current PPPs",1997,USD
BRA,Brazil,8627.009628,GDP per head of population,"USD, current prices, current PPPs",1997,USD
CHL,Chile,8589.098285,GDP per head of population,"USD, current prices, current PPPs",1997,USD
CHN,China (People's Republic of),2255.387151,GDP per head of population,"USD, current prices, current PPPs",1997,USD
EST,Estonia,7942.677098,GDP per head of population,"USD, current prices, current PPPs",1997,USD
IND,India,1750.502267,GDP per head of population,"USD, current prices, current PPPs",1997,USD
IDN,Indonesia,6399.757832,GDP per head of population,"USD, current prices, current PPPs",1997,USD
ISR,Israel,22259.878404,GDP per head of population,"USD, current prices, current PPPs",1997,USD
RUS,Russia,6115.87234,GDP per head of population,"USD, current prices, current PPPs",1997,USD
SVN,Slovenia,15279.904568,GDP per head of population,"USD, current prices, current PPPs",1997,USD
ZAF,South Africa,8115.572246,GDP per head of population,"USD, current prices, current PPPs",1997,USD
BRIICS,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",3049.737261,GDP per head of population,"USD, current prices, current PPPs",1997,USD
G-7,G7,27154.83623,GDP per head of population,"USD, current prices, current PPPs",1997,USD
OECD,OECD - Total,21766.685926,GDP per head of population,"USD, current prices, current PPPs",1997,USD
COL,Colombia,7000.196792,GDP per head of population,"USD, current prices, current PPPs",1997,USD
LVA,Latvia,6487.593363,GDP per head of population,"USD, current prices, current PPPs",1997,USD
LTU,Lithuania,7069.558626,GDP per head of population,"USD, current prices, current PPPs",1997,USD
EA19,Euro area (19 countries),21961.396038,GDP per head of population,"USD, current prices, current PPPs",1997,USD
CRI,Costa Rica,7268.555173,GDP per head of population,"USD, current prices, current PPPs",1997,USD
EU27_2020,European Union – 27 countries (from 01/02/2020),19114.38827,GDP per head of population,"USD, current prices, current PPPs",1997,USD
