Table 1
Country,flopsobs,dis_race,dis_sex,maternity2,maternityn2,min_age,minwa,wage_min2,index_cra,
Argentina,8,1.0000,1.0000,3.0000,0.2500,14.0000,0.3333,1.0000,0.7167,
Armenia,9,1.0000,1.0000,6.0000,0.5000,16.0000,0.6667,1.0000,0.8333,
Australia,12,1.0000,1.0000,0.0000,0.0000,15.0000,0.5000,0.0000,0.5000,
Austria,13,1.0000,1.0000,4.0000,0.3333,15.0000,0.5000,0.0000,0.5667,
Belgium,16,1.0000,1.0000,2.8875,0.2406,18.0000,1.0000,1.0000,0.8481,
Bolivia,27,1.0000,1.0000,5.0000,0.1667,12.0000,0.0000,1.0000,0.6333,
Brazil,28,1.0000,1.0000,3.5000,0.3333,12.0000,0.0000,1.0000,0.6667,
Bulgaria,20,1.0000,1.0000,4.0000,0.4167,16.0000,0.6667,1.0000,0.8167,
Burkina Faso,18,1.0000,1.0000,2.0000,0.2917,14.0000,0.3333,1.0000,0.7250,
Canada,34,1.0000,1.0000,2.1375,0.1781,15.0000,0.5000,1.0000,0.7356,
Chile,37,1.0000,1.0000,3.0000,0.3750,14.0000,0.3333,1.0000,0.7417,
China,38,1.0000,1.0000,3.0000,0.2500,16.0000,0.6667,1.0000,0.7833,
Colombia,42,1.0000,1.0000,6.0000,0.2500,18.0000,1.0000,1.0000,0.8500,
Croatia,85,1.0000,1.0000,3.0000,0.5000,15.0000,0.5000,1.0000,0.8000,
Czech Republic,49,1.0000,1.0000,7.0000,0.5833,15.0000,0.5000,1.0000,0.8167,
Denmark,53,1.0000,1.0000,3.0000,0.3750,15.0000,0.5000,0.0000,0.5750,
Dominican Rep.,54,1.0000,1.0000,3.0000,0.2500,14.0000,0.3333,1.0000,0.7167,
Ecuador,56,1.0000,1.0000,1.6667,0.2500,14.0000,0.3333,1.0000,0.7167,
Egypt,57,1.0000,1.0000,2.8000,0.1389,14.0000,0.3333,1.0000,0.6944,
Finland,62,1.0000,1.0000,4.2000,0.2333,16.0000,0.6667,0.0000,0.5800,
France,64,1.0000,1.0000,3.5000,0.3675,16.0000,0.6667,1.0000,0.8068,
Georgia,69,1.0000,1.0000,3.0000,0.3500,16.0000,0.6667,0.0000,0.6033,
Germany,50,1.0000,1.0000,4.5000,0.2917,15.0000,0.5000,0.0000,0.5583,
Ghana,70,1.0000,1.0000,1.6667,0.1250,15.0000,0.5000,1.0000,0.7250,
Greece,76,1.0000,1.0000,6.0000,0.2500,15.0000,0.5000,1.0000,0.7500,
Hong Kong,83,1.0000,1.0000,3.0000,0.1389,13.0000,0.1667,0.0000,0.4611,
Hungary,87,1.0000,1.0000,2.4500,0.5000,15.0000,0.5000,1.0000,0.8000,
India,90,1.0000,1.0000,4.0000,0.2500,14.0000,0.3333,1.0000,0.7167,
Indonesia,88,0.0000,1.0000,2.2500,0.2500,12.0000,0.0000,1.0000,0.4500,
Ireland,91,1.0000,1.0000,2.0000,0.2042,16.0000,0.6667,0.0000,0.5742,
Israel,95,1.0000,1.0000,2.1000,0.1875,15.0000,0.5000,1.0000,0.7375,
Italy,96,1.0000,1.0000,1.3500,0.3333,15.0000,0.5000,0.0000,0.5667,
Jamaica ,97,1.0000,1.0000,4.0000,0.1667,12.0000,0.0000,1.0000,0.6333,
Japan,99,1.0000,1.0000,3.0000,0.1750,15.0000,0.5000,1.0000,0.7350,
Jordan,98,1.0000,0.0000,2.0000,0.1125,16.0000,0.6667,0.0000,0.3558,
Kazakstan,100,1.0000,1.0000,3.0000,0.3333,16.0000,0.6667,1.0000,0.8000,
Kenya,101,1.0000,1.0000,4.0000,0.1667,16.0000,0.6667,1.0000,0.7667,
Korea,106,0.0000,1.0000,3.5000,0.2500,15.0000,0.5000,1.0000,0.5500,
Kyrgyz Republic,102,1.0000,1.0000,1.3333,0.2500,18.0000,1.0000,1.0000,0.8500,
Latvia,118,1.0000,1.0000,3.5000,0.3333,15.0000,0.5000,1.0000,0.7667,
Lebanon,109,0.0000,0.0000,3.5000,0.1111,13.0000,0.1667,1.0000,0.2556,
Lithuania,116,1.0000,1.0000,2.0000,0.2917,14.0000,0.3333,1.0000,0.7250,
Madagascar,123,1.0000,1.0000,3.0000,0.2917,14.0000,0.3333,1.0000,0.7250,
Malawi,137,1.0000,1.0000,1.5000,0.1667,16.0000,0.6667,1.0000,0.7667,
Malaysia,138,1.0000,0.0000,4.0500,0.1667,14.0000,0.3333,0.0000,0.3000,
Mali,128,1.0000,1.0000,2.0000,0.2917,16.0000,0.6667,1.0000,0.7917,
