Table 1
country,flopsobs,union_c,bargain_c,lab_un_dutyemp2,lab_un_third2,lab_un_closed2,work_man_board2,work_man_con2,index_col_barg13,strike_wild2,strike_political2,strike_sec2,index_strike2,emp_def_lock2,col_disp_c,rest_str_wait2,rest_str_col2,rest_str_concil2,rest_str_arbitr ,emp_def_strwk2,index_col_disp13,index_industrial4a
Argentina,8,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5714,1.0000,0.0000,1.0000,0.6667,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.5833,0.5774
Armenia,9,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2857,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.7500,0.5179
Australia,12,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2857,1.0000,0.0000,1.0000,0.6667,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.4583,0.3720
Austria,13,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.4286,1.0000,0.0000,0.0000,0.3333,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.2917,0.3601
Belgium,16,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.4286,0.0000,0.0000,1.0000,0.3333,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.4167,0.4226
Bolivia,27,0.6667,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.3810,1.0000,0.0000,0.0000,0.3333,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.5417,0.4613
Brazil,28,0.6667,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3810,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.3750,0.3780
Bulgaria,20,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.4286,1.0000,0.0000,1.0000,0.6667,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.4583,0.4435
Burkina Faso,18,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.4286,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.6250,0.5268
Canada,34,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.2500,0.1964
Chile,37,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.4286,1.0000,1.0000,1.0000,1.0000,0.0000,0.6667,0.0000,0.0000,1.0000,0.0000,0.0000,0.3333,0.3810
China,38,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.2857,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.3750,0.3304
Colombia,42,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.4286,0.0000,0.0000,1.0000,0.3333,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.5417,0.4851
