Table 1
country,flopsobs,part_time_ben2,part_time_term2,index_part_time2,fixed_term2,fixed_term_durn2,index_fixed_term2,index_altern12,days_leave_pay,paid_holidays,x1_hrs_ot,x2_hrs_ot,x_hrs_ot,premium_1restday,premium_2restday,ot_week,ot_year,max_hours_w_a,max_days_w_a,max_hours_d_a,weeks_year,hours_year_over,poss_overtime_a,cost_overtimen_a,red_noti_b,red_sev_b,red_pen_b,red_noti_nc,red_sev_nc,red_pen_nc,firing_cost_3years_n,dism_not_col2,dism_appr_col2b,dism_notify2,dism_appr2b,dism_law2,dism_priority2,dism_reemp2,index_dism2,index_labor7a
Argentina,8,1.0000,1.0000,1.0000,1.0000,0.0000,0.5000,0.7500,25.0000,8.0000,1.5000,n.a.,n.a.,2.0000,1.5000,n.a.,n.a.,48.0000,7.0000,12.0000,47.2857,2269.7143,0.0000,0.0676,4.3000,6.4500,0.0000,4.3000,12.9000,0.0000,0.2734,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2857,0.3442
Armenia,9,1.0000,1.0000,1.0000,0.0000,0.6250,0.3125,0.6563,15.0000,13.0000,1.5000,2.0000,2.0000,2.0000,2.0000,n.a.,n.a.,41.0000,5.0000,24.0000,46.4000,1902.4000,0.0000,0.4277,8.6000,8.6000,0.0000,Not Allowed,Not Allowed,Not Allowed,0.6087,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.7143,0.6017
Australia,12,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5000,20.0000,10.0000,1.5000,2.0000,14.0000,2.0000,1.5000,n.a.,n.a.,40.0000,7.0000,24.0000,47.7143,1908.5714,0.0000,0.2322,2.0000,7.0000,0.0000,Not Allowed,Not Allowed,Not Allowed,0.5309,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.3515
Austria,13,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5000,30.0000,15.0000,1.5000,n.a.,n.a.,2.0000,1.5000,n.a.,290.0000,40.0000,6.0000,13.0000,44.5000,1780.0000,1.0000,1.0000,2.0000,8.6000,0.0000,2.0000,8.6000,0.0000,0.2169,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2857,0.5007
Belgium,16,1.0000,1.0000,1.0000,1.0000,0.0000,0.5000,0.7500,20.0000,10.0000,1.5000,n.a.,n.a.,2.0000,n.a.,10.0000,n.a.,40.0000,6.0000,24.0000,47.0000,1880.0000,1.0000,1.0000,4.0000,8.6000,0.0000,4.0000,0.0000,0.0000,0.1602,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.5133
Bolivia,27,1.0000,1.0000,1.0000,1.0000,0.0000,0.5000,0.7500,30.0000,10.0000,2.0000,n.a.,n.a.,3.0000,n.a.,12.0000,n.a.,48.0000,6.0000,10.0000,45.3333,2176.0000,0.0000,0.2206,12.9000,12.9000,0.0000,12.9000,12.9000,0.0000,0.5207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3728
Brazil,28,1.0000,1.0000,1.0000,1.0000,0.7500,0.8750,0.9375,22.0000,6.0000,1.5000,n.a.,n.a.,n.a.,n.a.,12.0000,n.a.,44.0000,6.0000,13.0000,47.3333,2082.6667,0.0000,0.1529,4.3000,12.9000,0.0000,Not Allowed,Not Allowed,Not Allowed,0.6087,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5714,0.5676
Bulgaria,20,0.0000,1.0000,0.5000,0.0000,0.6250,0.3125,0.4063,18.0000,10.0000,1.5000,n.a.,n.a.,1.7500,1.7500,n.a.,150.0000,40.0000,5.0000,12.0000,46.4000,1856.0000,1.0000,1.0000,4.3000,0.0000,4.3000,Not Allowed,Not Allowed,Not Allowed,0.5264,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.1429,0.5189
Burkina Faso,18,1.0000,1.0000,1.0000,0.0000,0.7500,0.3750,0.6875,30.0000,3.0000,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,40.0000,6.0000,24.0000,46.5000,1860.0000,0.0000,0.0000,,,,,,,0.4996,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.5714,0.4396
Canada,34,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5000,10.0000,5.0000,1.5000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,40.0000,5.0000,24.0000,49.0000,1960.0000,0.0000,0.2088,2.0000,0.8500,0.0000,2.0000,0.8500,0.0000,0.0517,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.2857,0.2615
