Table 1
Country,flopsobs,ln_gnppc97,common,social,french,german,scandi,all_indexn_e,all_indexn_c,proc_99b,time_99b,cost_99b,avg_yrsc25_9500
Argentina,8,9.0070,0,0,1,0,0,5.4861,5.3969,2.6391,3.8712,-2.2838,8.3
Armenia,9,6.2538,0,1,0,0,0,,,2.3979,4.0073,-2.0658,5
Australia,12,10.0110,1,0,0,0,0,1.9881,1.8026,0.6931,0.6931,-3.7959,10.44
Austria,13,10.2481,0,0,0,1,0,3.6210,3.5216,2.1972,3.6109,-1.2989,8.62
Belgium,16,10.1988,0,0,1,0,0,3.1667,2.7259,2.0794,3.4965,-2.3041,8.64
Bolivia,27,6.8773,0,0,1,0,0,5.1111,5.7522,2.9957,4.4773,0.9768,5.36
Brazil,28,8.4638,0,0,1,0,0,3.8333,3.0592,2.7081,4.1431,-1.6023,4.37
Bulgaria,20,7.0648,0,1,0,0,0,4.5139,4.5724,2.3026,3.2958,-1.9376,9.63
Burkina Faso,18,5.4806,0,0,1,0,0,,,2.6391,3.4965,1.1595,0.2
Canada,34,9.9179,1,0,0,0,0,2.3194,2.0855,0.6931,0.6931,-4.2345,11.31
Chile,37,8.5112,0,0,1,0,0,4.7917,4.5658,2.3026,3.3322,-2.0339,7.71
China,38,6.5511,0,1,0,0,0,3.4028,3.4145,2.4849,4.5218,-1.9542,5.61
Colombia,42,7.8241,0,0,1,0,0,3.9444,4.1118,2.8904,3.8712,-1.9106,4.84
Croatia,85,8.3802,0,1,0,0,0,3.4306,3.6228,2.4849,3.6376,-0.7978,6.39
Czech Republic,49,8.5698,0,1,0,0,0,3.5417,4.0592,2.3026,4.1744,-2.4981,9.38
Denmark,53,10.4406,0,0,0,0,1,3.5972,2.5482,1.0986,1.0986,-2.3026,9.97
Dominican Republic,54,7.4384,0,0,1,0,0,4.3611,4.0811,3.0445,4.3820,1.5327,5.02
Ecuador,56,7.3588,0,0,1,0,0,4.6389,4.9232,2.7726,4.2767,-0.4743,6.38
"Egypt, Arab Rep.",57,7.0901,0,0,1,0,0,3.5972,3.7939,2.3979,3.9318,-0.0347,4.65
Finland,62,10.1511,0,0,0,0,1,2.5278,3.1382,1.6094,3.1781,-4.4536,9.98
France,64,10.1601,0,0,1,0,0,3.5972,3.2346,2.7081,3.9703,-1.9447,8.16
Georgia,69,6.3456,0,1,0,0,0,3.5139,3.0855,2.5649,4.2341,-0.5028,5
Germany,50,10.2608,0,0,0,1,0,3.7639,3.5066,2.3026,3.7377,-1.8524,9.66
Ghana,70,5.9662,1,0,0,0,0,2.6944,2.6491,2.3026,3.8067,-1.5254,3.88
Greece,76,9.4222,0,0,1,0,0,4.3056,3.9912,2.7081,3.5835,-0.5345,8.28
Hong Kong,83,10.1382,1,0,0,0,0,3.1250,0.7303,1.6094,2.7081,-3.4014,9.4
Hungary,87,8.4141,0,1,0,0,0,3.4583,3.4189,2.0794,3.6636,-0.1523,8.66
India,90,6.0403,1,0,0,0,0,3.5139,3.3421,2.3026,4.3438,-0.5488,4.47
Indonesia,88,7.0121,0,0,1,0,0,3.8750,3.9013,2.3979,4.8520,-0.6200,4.37
Ireland,91,9.8924,1,0,0,0,0,3.2004,2.6263,1.0986,2.7726,-2.1570,8.9
Israel,95,9.7238,1,0,0,0,0,3.9028,3.3048,1.6094,3.4657,-1.5455,9.15
Italy,96,9.9311,0,0,1,0,0,4.2361,4.0414,2.7726,4.1271,-1.6085,6.8
Jamaica,97,7.5229,1,0,0,0,0,2.3750,2.3443,1.7918,3.1781,-1.6716,5.07
Japan,99,10.5545,0,0,0,1,0,3.7222,2.9759,2.3979,3.2581,-2.1533,9.58
Jordan,98,7.3840,0,0,1,0,0,3.3750,3.5219,2.6391,4.1589,-0.6219,6.89
Kazakhstan,100,7.2298,0,1,0,0,0,4.0000,4.7588,2.4849,3.7377,-0.7452,7.02
Kenya,101,5.8579,1,0,0,0,0,2.8472,3.0877,2.3979,3.9890,-0.6793,3.75
Korea,106,9.3405,0,0,0,1,0,3.3333,3.3684,2.5649,3.2958,-1.8160,10.27
Kyrgyz Republic,102,6.1527,0,1,0,0,0,,,2.1972,3.4657,-1.3734,5
Latvia,118,7.7407,0,1,0,0,0,3.8611,3.9298,1.9459,3.1355,-0.8595,9.27
Lebanon,109,8.1197,0,0,1,0,0,5.5694,4.8487,2.1972,4.1431,0.4493,4.4
Lithuania,116,7.7053,0,1,0,0,0,4.2083,4.4693,2.3026,3.8286,-2.9075,9.15
Madagascar,123,5.5215,0,0,1,0,0,,,2.8332,5.0239,-0.8527,2.2
Malawi,137,5.3471,1,0,0,0,0,3.1389,2.9539,2.4849,3.9318,-1.6682,2.59
Malaysia,138,8.4338,1,0,0,0,0,3.2083,2.3421,1.9459,3.7377,-1.3299,7.77
Mali,128,5.5607,0,0,1,0,0,,,2.7726,4.0775,,0.58
Mexico,125,8.2188,0,0,1,0,0,4.8194,4.7083,2.7081,4.2047,-0.5685,6.55
