Table 1
Country,flopsobs,flopsobs,Unof_economy,lab_inf,lfrmle,lfrfem,av_unem_9100,rat_mal2024,rat_fem2024,avgca20_la81_la85_ma91_pf159n
Argentina,8,8,25.4000,.,85.5000,33.7000,12.7500,10.8300,14.2800,1.1431
Armenia,9,9,46.3000,26.7000,.,.,8.0889,.,.,.
Australia,12,12,15.3000,6.4000,84.7000,61.9000,8.6800,13.8500,11.3400,1.0097
Austria,13,13,10.2000,16.0000,80.4000,55.4000,3.8700,4.8300,4.2900,0.9862
Belgium,16,16,23.2000,.,72.6000,48.0000,8.5200,15.7000,21.4000,1.0085
Bolivia,27,27,67.1000,51.3000,84.1000,46.2000,5.1333,5.4200,8.9600,0.8032
Brazil,28,28,39.8000,49.2000,89.0000,47.6000,7.4571,9.4200,14.9800,.
Bulgaria,20,20,36.9000,63.0000,76.4000,72.6000,15.8625,33.7800,24.3300,0.8963
Burkina Faso,18,18,38.4000,65.0000,92.4000,79.7000,.,.,.,0.8383
Canada,34,34,16.4000,4.4000,84.9000,68.2000,9.4400,15.8800,12.0200,.
Chile,37,37,19.8000,40.0000,82.2000,35.0000,5.9900,12.1400,14.5500,.
China,38,38,13.1000,21.9000,89.6000,79.9000,2.8200,.,.,1.0563
Colombia,42,42,39.1000,53.8000,83.6000,45.4000,12.2800,.,.,.
Croatia,85,85,33.4000,70.0000,76.9000,56.4000,12.1800,31.2900,40.3100,0.9926
Czech Republic,49,49,19.1000,.,.,.,5.6625,7.5300,8.6900,0.8942
Denmark,53,53,18.2000,15.4000,87.3000,77.6000,6.3500,10.9000,13.3100,1.0230
Dominican Republic,54,54,32.1000,52.0000,86.5000,35.7000,17.7429,17.9400,52.5900,.
Ecuador,56,56,34.4000,58.8000,85.9000,28.9000,9.1100,13.1900,22.6400,.
"Egypt, Arab Rep.",57,57,35.1000,64.2000,83.4000,32.0000,9.5000,18.8100,41.8100,.
Finland,62,62,18.3000,.,79.5000,72.4000,12.4000,21.3000,20.4600,0.8791
France,64,64,15.3000,9.0000,74.6000,57.0000,11.1900,18.8400,26.0600,.
Georgia,69,69,67.3000,36.7000,.,.,13.0333,26.0700,27.5700,.
Germany,50,50,16.3000,22.0000,83.0000,61.2000,8.9400,10.3800,10.5700,0.9370
Ghana,70,70,38.4000,72.3000,82.8000,82.6000,.,.,.,1.0175
Greece,76,76,28.6000,.,77.9000,42.4000,9.9900,19.9800,35.9900,.
Hong Kong,83,83,16.6000,.,86.3000,54.5000,3.1700,6.3100,4.5300,0.6129
