Table 1
Country,flopsobs,chileg2inde_newb,chileg2_75newb,union_dens,aut_5090,pr7595_new,frac7595,democ_5095
Argentina,8,0.4559,0.0952,0.3000,0.9000,0.6538,0.6074,3.22727
Armenia,9,1.0000,1.0000,,,0.2308,0.5675,6.4
Australia,12,0.3529,0.5714,0.2600,0.0000,1.0000,0.5950,10
Austria,13,0.2353,0.5714,0.5200,0.0000,1.0000,0.5994,10
Belgium,16,0.0882,0.0000,0.6000,0.0000,1.0000,0.8279,10
Bolivia,27,0.4412,0.2381,0.5000,1.3000,0.6923,0.7368,3.16667
Brazil,28,0.2206,0.0000,0.2500,0.4250,1.0000,0.6385,4.15556
Bulgaria,20,0.7059,0.7619,0.4000,0.9000,0.3462,0.1423,1.04348
Burkina Faso,18,0.9429,1.0000,0.0100,1.6129,0.3077,0.5657,0.342857
Canada,34,0.6912,0.5238,0.3000,0.0000,0.0000,0.5505,10
Chile,37,0.3824,0.2857,0.1200,0.8500,0.0000,0.8083,3.73913
China,38,0.6765,1.0000,0.1400,1.0000,0.0000,0.0000,0
Colombia,42,0.3676,0.0000,0.0780,0.2750,1.0000,0.5519,6.63043
Croatia,85,0.6765,0.8095,0.7000,,0.3077,0.5787,0.8
Czech Republic,49,0.8382,0.7619,0.3000,,1.0000,0.7256,10
Denmark,53,0.7353,0.4762,0.8000,0.0000,1.0000,0.8063,10
Dominican Republic,54,0.1176,0.3810,,0.4750,1.0000,0.4725,3
Ecuador,56,0.3971,0.5238,0.1200,0.7500,0.8077,0.8617,4.78261
"Egypt, Arab Rep.",57,0.8382,1.0000,0.2700,1.0000,0.0000,0.3742,0.347826
Finland,62,0.7941,0.8095,0.8400,0.0000,1.0000,0.7982,10
France,64,0.3382,0.4762,0.0900,0.0000,0.5769,0.6971,8.08696
Georgia,69,1.0000,1.0000,,,0.1923,0.9176,5.2
Germany,50,0.2941,0.2381,0.3800,0.0000,1.0000,0.6630,10
Ghana,70,0.7368,0.9048,0.0900,1.5294,0.0000,0.3207,0.8125
Greece,76,0.2059,0.4762,0.3540,0.2750,1.0000,0.5305,6.82222
Hong Kong,83,0.2794,0.2381,0.2200,,,,
Hungary,87,0.6618,0.7619,0.6600,0.9500,0.3846,0.1691,1.40909
India,90,1.0000,1.0000,0.0300,0.0000,1.0000,0.5749,8.52174
Indonesia,88,0.1957,0.0000,0.0120,1.3333,1.0000,0.3793,0.543478
Ireland,91,0.0000,0.0000,0.6500,0.0000,1.0000,0.6289,9.91304
Israel,95,0.7660,0.4762,0.3000,0.0000,1.0000,0.7537,9.36957
Italy,96,0.3235,0.0000,0.4000,0.0000,1.0000,0.7257,10
Jamaica,97,0.4242,0.5714,,0.0000,0.0000,0.2287,9.91177
Japan,99,0.0147,0.0000,0.2400,0.0000,1.0000,0.6453,10
Jordan,98,0.0000,0.0000,0.2000,1.4167,0.0000,0.9207,0.586957
Kazakhstan,100,1.0000,1.0000,,,0.0000,0.2254,1
Kenya,101,1.0000,1.0000,0.2000,1.0000,0.0000,0.0930,0.727273
Korea,106,0.4000,0.2857,0.1380,0.9189,0.9615,0.6293,2.44444
Kyrgyz Republic,102,0.9412,0.8095,,,0.1923,,1
Latvia,118,0.7647,0.8571,0.3000,,0.2692,0.6512,8
Lebanon,109,0.1923,0.0000,0.4200,,0.0000,0.7690,4.2
Lithuania,116,0.7941,0.9524,0.1500,,0.3077,0.6705,10
Madagascar,123,1.0000,1.0000,,1.1667,0.3077,0.2453,1.8
Malawi,137,0.1290,0.0000,,1.0000,0.0000,0.0301,0.4375
Malaysia,138,0.0000,0.0000,0.1000,1.0588,0.0000,0.4475,6.41026
Mali,128,0.3429,0.1905,,1.4667,0.0000,0.1162,0.8
Mexico,125,1.0000,1.0000,0.4000,1.0000,1.0000,0.4588,0.673913
Mongolia,131,0.9706,0.9048,,1.0000,0.0000,0.0723,0.956522
Morocco,120,0.0000,0.0000,,1.4857,0.0000,0.8731,0.225
Mozambique,133,1.0000,0.9524,,1.0000,0.2692,0.0297,0.571429
Netherlands,145,0.2647,0.1905,0.2800,0.0000,1.0000,0.7598,10
New Zealand,148,0.4559,0.3333,0.2400,0.0000,0.3077,0.4971,10
Nigeria,143,0.5429,0.2381,0.2000,1.3548,0.1538,0.7529,2.51429
Norway,146,0.7059,0.7143,0.8000,0.0000,1.0000,0.7118,10
Pakistan,150,0.4375,0.2381,0.1000,0.9750,0.0000,0.7305,3.85714
Panama,151,0.5000,0.4762,0.1200,0.8500,0.6154,0.7958,2.78261
Peru,152,0.4265,0.5238,0.0500,0.8000,0.7692,0.6375,4.36364
Philippines,153,0.3469,0.2857,0.1200,0.6750,0.0000,0.3052,4.4
Poland,155,0.9118,1.0000,0.1300,0.9000,0.4231,0.2852,1.1087
Portugal,158,0.0882,0.2857,0.3500,0.6250,0.9231,0.6372,4.40909
Romania,163,0.9265,1.0000,0.4650,1.0000,0.3846,0.1670,0.666667
Russian Federation,164,0.9412,0.8095,0.6300,,0.7778,0.8612,4.8
Senegal,168,1.0000,1.0000,0.5500,1.0000,0.9231,0.2111,1.2
Singapore,169,0.3000,0.0000,0.2400,1.0000,0.0000,0.0263,2
Slovak Republic,176,0.8824,0.9048,0.5000,,0.3077,0.7200,7
Slovenia,177,0.7353,1.0000,,,0.3462,0.8747,10
South Africa,206,0.0147,0.0476,0.3000,1.0000,1.0000,0.4234,7.09091
Spain,59,0.3088,0.8571,0.1300,1.3000,0.8846,0.6344,4.09302
Sri Lanka,114,0.8298,1.0000,0.7000,0.3500,0.7692,0.3887,6.78261
Sweden,178,0.8529,0.6190,0.9000,0.0000,1.0000,0.7181,10
Switzerland,35,0.6912,0.6667,0.2500,0.0000,1.0000,0.8241,10
Taiwan,225,0.0000,0.0000,0.3500,1.0000,0.3462,0.1238,0.826087
Tanzania,191,1.0000,1.0000,0.1300,1.0000,0.0000,0.4635,0.0625
