Country,flopsobs,dummy_old,old_age_n,old_cont_n,old_salary_n,old_cov_20_n2,index_old_202,dummy_sick,sick_cont_n,sick_salary_n,sick_days_n,sick_cov_n2,index_sick2,dummy_unem,unem_cont_n,unem_salary_n,unem_days_n,unem_covn2,index_unem2,index_socseca
Argentina,8,1.0000,0.3866,0.3333,0.4500,0.3200,0.3725,1.0000,1.0000,0.7458,1.0000,1.0000,0.9364,1.0000,0.9000,0.8361,1.0000,0.6128,0.8372,0.7154
Armenia,9,1.0000,0.4496,0.4444,0.9069,0.0947,0.4739,1.0000,1.0000,0.9266,1.0000,1.0000,0.9817,1.0000,0.9767,0.9553,1.0000,0.0505,0.7456,0.7337
Australia,12,1.0000,1.0000,0.5556,1.0000,0.5878,0.7858,1.0000,1.0000,0.8729,1.0000,0.0000,0.7182,1.0000,1.0000,1.0000,1.0000,0.3676,0.8419,0.7820
Austria,13,1.0000,0.5420,0.6667,0.4875,0.6414,0.5844,1.0000,0.9167,0.6653,1.0000,1.0000,0.8955,1.0000,0.9500,0.5082,0.9000,0.2890,0.6618,0.7139
Belgium,16,1.0000,0.5546,0.0000,0.6250,0.9105,0.5225,1.0000,0.5000,0.6017,0.5000,0.6000,0.5504,1.0000,0.9145,0.8574,1.0000,0.4240,0.7990,0.6240
Bolivia,27,1.0000,0.0000,0.5556,0.3750,0.0000,0.2326,1.0000,0.8333,1.0000,0.9286,0.7500,0.8780,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.3702
Brazil,28,1.0000,0.1050,0.2222,0.6928,0.9804,0.5001,1.0000,0.0000,0.7579,0.6429,0.9100,0.5777,1.0000,0.9500,1.0000,0.1429,0.1607,0.5634,0.5471
Bulgaria,20,1.0000,0.4538,0.4444,0.9000,0.8023,0.6501,1.0000,0.5000,0.8475,1.0000,0.9000,0.8119,1.0000,0.9500,0.8689,1.0000,0.4653,0.8210,0.7610
Burkina Faso,18,1.0000,0.0000,0.6667,0.7750,0.2941,0.4340,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1447
Canada,34,1.0000,0.5756,0.9778,0.8250,0.7008,0.7698,1.0000,1.0000,1.0000,1.0000,0.5500,0.8875,1.0000,0.9125,0.5820,0.8000,0.5197,0.7035,0.7869
Chile,37,1.0000,0.4286,0.5556,0.3500,0.6464,0.4951,1.0000,0.7500,0.4068,1.0000,1.0000,0.7892,1.0000,0.9000,1.0000,1.0000,0.2272,0.7818,0.6887
China,38,1.0000,0.4286,0.5556,0.6000,0.6565,0.5601,1.0000,1.0000,0.8305,1.0000,1.0000,0.9576,1.0000,0.9000,0.8361,0.9000,0.4643,0.7751,0.7643
Colombia,42,1.0000,0.4580,0.5679,0.7813,0.8115,0.6547,1.0000,0.9167,0.6610,0.9048,0.6667,0.7873,1.0000,0.9917,1.0000,1.0000,n.a.,0.9972,0.8131
Croatia,85,1.0000,0.5714,0.5556,0.4625,0.5085,0.5245,1.0000,1.0000,0.2373,1.0000,0.8000,0.7593,1.0000,0.9250,0.8607,1.0000,0.2352,0.7552,0.6797
Czech Republic,49,1.0000,0.5336,0.4444,0.6750,0.4769,0.5325,1.0000,1.0000,0.5254,1.0000,0.7167,0.8105,1.0000,0.9000,0.9344,0.9000,0.2708,0.7513,0.6981
Denmark,53,1.0000,0.3824,1.0000,0.9999,1.0000,0.8456,1.0000,0.9500,1.0000,1.0000,1.0000,0.9875,1.0000,0.9000,0.6885,1.0000,0.5517,0.7850,0.8727
Dominican Rep.,54,1.0000,0.3025,0.6543,0.9147,0.6316,0.6258,1.0000,0.8833,0.9328,0.9286,0.6033,0.8370,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.4876
Ecuador,56,1.0000,0.6218,0.3333,0.7000,0.8876,0.6357,1.0000,0.5000,1.0000,0.9048,0.7500,0.7887,1.0000,0.8000,0.6721,0.1429,n.a.,0.5383,0.6542
Egypt,57,1.0000,0.7101,0.5556,0.5000,0.6423,0.6020,1.0000,0.7500,0.9153,1.0000,0.7500,0.8538,1.0000,0.9500,1.0000,0.9000,0.3871,0.8093,0.7550
Finland,62,1.0000,0.5210,1.0000,0.7650,0.6742,0.7401,1.0000,0.9167,0.8729,0.7619,0.7000,0.8129,1.0000,0.9104,0.8361,0.9000,0.5776,0.8060,0.7863
France,64,1.0000,0.7731,0.9944,0.6675,0.8516,0.8217,1.0000,0.7500,0.4237,0.9286,0.5000,0.6506,1.0000,1.0000,0.6377,1.0000,0.8794,0.8793,0.7838
Georgia,69,1.0000,0.3361,1.0000,0.9500,0.1032,0.5973,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0001,0.7500,0.4491
Germany,50,1.0000,0.5294,0.8889,0.5125,0.8125,0.6858,1.0000,1.0000,0.4153,0.0000,0.7070,0.5306,1.0000,0.9000,0.4672,1.0000,0.8092,0.7941,0.6702
Ghana,70,1.0000,0.0000,0.5556,0.7500,0.5860,0.4729,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1576
Greece,76,1.0000,0.5504,0.7222,0.6665,0.8695,0.7022,1.0000,0.7222,0.7500,0.9286,0.7000,0.7752,1.0000,0.9653,0.7820,0.9143,0.2925,0.7385,0.7386
Hong Kong,83,1.0000,0.3950,1.0000,1.0000,0.8555,0.8126,1.0000,0.9167,1.0000,0.9286,0.8000,0.9113,1.0000,1.0000,1.0000,0.6000,0.1639,0.6910,0.8050
Hungary,87,1.0000,0.4664,0.5556,0.6000,0.6130,0.5587,1.0000,0.9167,0.7458,0.9762,0.7000,0.8347,1.0000,0.6000,0.7541,1.0000,0.8024,0.7891,0.7275
India,90,1.0000,0.2059,0.7778,0.4000,0.3325,0.4290,1.0000,0.7833,0.8517,0.9524,0.5000,0.7719,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.4003
Indonesia,88,1.0000,0.4538,0.5556,0.9000,0.2174,0.5317,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1772
Ireland,91,1.0000,0.4370,0.9278,0.9302,0.6539,0.7372,1.0000,0.1875,0.9450,0.9286,0.3131,0.5935,1.0000,0.9188,0.9665,0.9571,0.4069,0.8123,0.7144
Israel,95,1.0000,0.5714,0.8889,0.7950,0.6375,0.7232,1.0000,1.0000,0.5932,1.0000,0.7500,0.8358,1.0000,0.9500,0.9754,0.9286,0.5913,0.8613,0.8068
Italy,96,1.0000,0.6050,0.5778,0.5050,0.8859,0.6434,1.0000,1.0000,1.0000,0.9286,0.6111,0.8849,1.0000,0.9000,1.0000,0.9000,0.1727,0.7432,0.7572
Jamaica ,97,1.0000,0.4244,0.4607,0.8750,0.2517,0.5030,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.1677
Japan,99,1.0000,0.6639,0.4444,0.5663,0.8696,0.6360,1.0000,0.0000,0.6398,0.9286,0.6000,0.5421,1.0000,0.9500,0.9098,0.9000,0.2280,0.7470,0.6417
Jordan,98,1.0000,0.4244,0.7778,0.7500,0.5664,0.6296,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.2099
Kazakstan,100,1.0000,0.1639,0.4444,0.9500,0.7830,0.5853,0.0000,0.0000,n.a.,n.a.,0.0000,0.0000,0.0000,n.a.,n.a.,n.a.,0.2482,0.2482,0.2778
Kenya,101,1.0000,0.0000,0.5556,0.7500,0.0000,0.3264,1.0000,0.0000,0.8237,n.a.,1.0000,0.6079,0.0000,n.a.,n.a.,n.a.,n.a.,0.0000,0.3114
Korea,106,1.0000,0.6176,0.5556,0.7750,0.4407,0.5972,1.0000,1.0000,0.8610,1.0000,0.0000,0.7153,1.0000,0.9000,0.9180,0.8000,0.2613,0.7198,0.6774
Kyrgyz Republic,102,1.0000,0.3109,0.4444,0.9000,0.6414,0.5742,1.0000,1.0000,1.0000,0.8810,1.0000,0.9702,1.0000,1.0000,0.9180,1.0000,0.1180,0.7590,0.7678
Latvia,118,1.0000,0.4244,0.5556,0.6928,0.3526,0.5063,1.0000,1.0000,0.7579,0.6429,0.8000,0.8002,1.0000,1.0000,1.0000,0.8000,0.4011,0.8003,0.7023
